filename,reason
ghvLSUXD5pU_seg267.wav,Score 2/5: ✗ Peak bajo (0.188 < 0.2) | ✗ Centroid bajo (576 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.32 < 2.0) | ✓ RMS (0.0569 >= 0.01)
ghvLSUXD5pU_seg125.wav,Score 2/5: ✗ Peak bajo (0.197 < 0.2) | ✗ Centroid bajo (676 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.04 < 2.0) | ✓ RMS (0.0521 >= 0.01)
ghvLSUXD5pU_seg76.wav,Score 2/5: ✗ Peak bajo (0.197 < 0.2) | ✗ Centroid bajo (637 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.04 < 2.0) | ✓ RMS (0.0481 >= 0.01)
ghvLSUXD5pU_seg47.wav,Score 2/5: ✗ Peak bajo (0.196 < 0.2) | ✗ Centroid bajo (534 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.09 < 2.0) | ✓ RMS (0.0532 >= 0.01)
ghvLSUXD5pU_seg209.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (526 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.12 < 2.0) | ✓ RMS (0.0533 >= 0.01)
ghvLSUXD5pU_seg256.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (611 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.09 < 2.0) | ✓ RMS (0.0486 >= 0.01)
ghvLSUXD5pU_seg227.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (533 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.13 < 2.0) | ✓ RMS (0.0532 >= 0.01)
ghvLSUXD5pU_seg335.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (533 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.16 < 2.0) | ✓ RMS (0.0511 >= 0.01)
ghvLSUXD5pU_seg263.wav,Score 2/5: ✗ Peak bajo (0.199 < 0.2) | ✗ Centroid bajo (531 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.16 < 2.0) | ✓ RMS (0.0524 >= 0.01)
ghvLSUXD5pU_seg357.wav,Score 2/5: ✗ Peak bajo (0.185 < 0.2) | ✗ Centroid bajo (582 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.35 < 2.0) | ✓ RMS (0.0576 >= 0.01)
ghvLSUXD5pU_seg22.wav,Score 2/5: ✗ Peak bajo (0.196 < 0.2) | ✗ Centroid bajo (643 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.02 < 2.0) | ✓ RMS (0.0479 >= 0.01)
ghvLSUXD5pU_seg292.wav,Score 2/5: ✗ Peak bajo (0.195 < 0.2) | ✗ Centroid bajo (606 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.07 < 2.0) | ✓ RMS (0.0484 >= 0.01)
ghvLSUXD5pU_seg245.wav,Score 2/5: ✗ Peak bajo (0.200 < 0.2) | ✗ Centroid bajo (531 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.13 < 2.0) | ✓ RMS (0.0531 >= 0.01)
ghvLSUXD5pU_seg155.wav,Score 2/5: ✗ Peak bajo (0.200 < 0.2) | ✗ Centroid bajo (531 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.13 < 2.0) | ✓ RMS (0.0532 >= 0.01)
ghvLSUXD5pU_seg191.wav,Score 2/5: ✗ Peak bajo (0.199 < 0.2) | ✗ Centroid bajo (540 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.13 < 2.0) | ✓ RMS (0.0533 >= 0.01)
ghvLSUXD5pU_seg141.wav,Score 2/5: ✗ Peak bajo (0.187 < 0.2) | ✗ Centroid bajo (607 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.27 < 2.0) | ✓ RMS (0.0564 >= 0.01)
ghvLSUXD5pU_seg148.wav,Score 2/5: ✗ Peak bajo (0.195 < 0.2) | ✗ Centroid bajo (632 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (-0.12 < 2.0) | ✓ RMS (0.0487 >= 0.01)
ghvLSUXD5pU_seg281.wav,Score 2/5: ✗ Peak bajo (0.198 < 0.2) | ✗ Centroid bajo (530 Hz < 1000) | ✓ Duration (5.00s <= 5.0s) | ✗ Kurtosis bajo (0.12 < 2.0) | ✓ RMS (0.0522 >= 0.01)
