nombre,objetivo,source_datos,modelos_posibles,extra
🥇 Sistema de alerta de seguridad urbana (audio),"Identifica automatica de situacion de peligros en casos de disparos, sirenas o automoviles, orientado a dispositivos moviles como smartwatch,smartphones. "," UrbanSound8K, https://github.com/karolpiczak/ESC-50","Detección de cambios, CNN,neigbors, SVM https://colab.research.google.com/github/jsalbert/sound_classification_ml_production/blob/main/notebooks/UrbanSound8k_machine_learning.ipynb#scrollTo=Y9fa-rfjH9rn",
"🥈 Detector de grietas por (imagen)","Detecta edificios colapsados carreteras dañadas, infraestructura afectada.",,"CNN, modelos de segmentación, modelos multiespectrales",
🥉 Recomendador de destinos de viajes smart,"recomendador de destinos basados en personalidad, experiencias, presupuesto, clima favorito, etc","https://www.kaggle.com/datasets/umeradnaan/tourism-dataset , https://www.kaggle.com/datasets/viswanathanc/world-cities-datasets","CNN (ResNet, EfficientNet), Vision Transformers (ViT), Transfer Learning",
